iter	Passed	Remaining
0	142	56865
1	143	28529
2	143	19033
3	144	14276
4	144	11416
5	144	9516
6	145	8155
7	145	7138
8	145	6341
9	146	5705
10	146	5182
11	146	4750
12	147	4383
13	147	4068
14	147	3793
15	148	3553
16	148	3341
17	148	3152
18	148	2984
19	149	2832
20	149	2695
21	149	2570
22	149	2457
23	150	2353
24	150	2256
25	150	2168
26	150	2085
27	151	2008
28	151	1937
29	151	1871
30	151	1808
31	152	1749
32	152	1694
33	152	1642
34	152	1594
35	153	1548
36	153	1504
37	153	1463
38	153	1423
39	154	1386
40	154	1350
41	154	1316
42	154	1284
43	154	1253
44	155	1224
45	155	1195
46	155	1169
47	155	1143
48	156	1118
49	156	1094
50	156	1071
51	156	1048
52	156	1027
53	157	1008
54	157	990
55	158	971
56	158	953
57	158	935
58	158	918
59	159	902
60	159	885
61	159	870
62	159	855
63	160	840
64	160	826
65	160	812
66	160	799
67	161	786
68	161	775
69	161	762
70	162	751
71	162	739
72	162	728
73	162	717
74	163	706
75	163	696
76	163	685
77	163	675
78	163	666
79	164	656
80	164	647
81	164	638
82	164	629
83	165	621
84	165	613
85	165	604
86	165	596
87	166	589
88	166	581
89	166	574
90	166	566
91	167	559
92	167	553
93	168	546
94	168	540
95	168	533
96	168	527
97	168	520
98	169	514
99	169	508
100	169	502
101	169	496
102	170	490
103	170	484
104	170	479
105	170	473
106	171	468
107	171	462
108	171	457
109	171	452
110	171	447
111	172	442
112	172	437
113	172	432
114	172	428
115	173	424
116	173	420
117	174	416
118	174	411
119	174	407
120	174	403
121	175	398
122	175	394
123	175	390
124	175	386
125	176	382
126	176	379
127	176	375
128	176	371
129	177	367
130	177	364
131	177	360
132	177	357
133	178	353
134	178	350
135	178	347
136	179	343
137	179	340
138	179	337
139	179	334
140	180	331
141	180	328
142	181	325
143	181	322
144	181	319
145	182	317
146	182	314
147	182	311
148	183	308
149	183	305
150	183	302
151	183	299
152	184	297
153	184	294
154	184	291
155	184	288
156	184	286
157	185	283
158	185	281
159	185	278
160	185	275
161	186	273
162	186	271
163	186	268
164	186	266
165	187	263
166	187	261
167	187	259
168	188	257
169	188	254
170	188	252
171	188	250
172	189	248
173	189	245
174	189	243
175	189	241
176	190	239
177	190	237
178	190	235
179	190	233
180	191	231
181	191	229
182	191	227
183	191	225
184	191	223
185	192	221
186	192	219
187	192	217
188	192	215
189	193	213
190	193	211
191	193	209
192	193	207
193	193	205
194	194	204
195	194	202
196	194	200
197	194	198
198	195	197
199	195	195
200	195	193
201	195	191
202	196	190
203	196	188
204	196	187
205	196	185
206	197	183
207	197	182
208	197	180
209	198	179
210	198	177
211	198	176
212	198	174
213	199	173
214	199	171
215	199	170
216	200	168
217	200	167
218	200	165
219	200	164
220	201	162
221	201	161
222	201	160
223	201	158
224	202	157
225	202	155
226	202	154
227	202	152
228	202	151
229	203	150
230	203	148
231	203	147
232	203	145
233	203	144
234	204	143
235	204	141
236	204	140
237	204	139
238	205	138
239	205	137
240	205	135
241	206	134
242	206	133
243	206	132
244	206	130
245	207	129
246	207	128
247	207	127
248	207	125
249	207	124
250	208	123
251	208	122
252	208	121
253	208	120
254	209	118
255	209	117
256	209	116
257	209	115
258	210	114
259	210	113
260	210	112
261	211	111
262	211	110
263	211	108
264	211	107
265	212	106
266	212	105
267	212	104
268	212	103
269	213	102
270	213	101
271	213	100
272	213	99
273	214	98
274	214	97
275	214	96
276	214	95
277	215	94
278	215	93
279	215	92
280	215	91
281	216	90
282	216	89
283	216	88
284	216	87
285	216	86
286	217	85
287	217	84
288	217	83
289	218	82
290	218	81
291	218	80
292	218	79
293	218	78
294	219	78
295	219	77
296	219	76
297	220	75
298	220	74
299	220	73
300	220	72
301	220	71
302	221	70
303	221	69
304	221	69
305	221	68
306	221	67
307	222	66
308	222	65
309	222	64
310	222	63
311	223	62
312	223	62
313	223	61
314	223	60
315	223	59
316	224	58
317	224	57
318	224	57
319	224	56
320	225	55
321	225	54
322	225	53
323	225	52
324	225	52
325	226	51
326	226	50
327	226	49
328	226	48
329	226	48
330	227	47
331	227	46
332	227	45
333	227	45
334	228	44
335	228	43
336	228	42
337	228	41
338	228	41
339	229	40
340	229	39
341	229	38
342	229	38
343	230	37
344	230	36
345	230	36
346	231	35
347	231	34
348	231	33
349	231	33
350	232	32
351	232	31
352	232	30
353	232	30
354	233	29
355	233	28
356	233	28
357	233	27
358	233	26
359	234	26
360	234	25
361	234	24
362	234	23
363	235	23
364	235	22
365	235	21
366	235	21
367	235	20
368	236	19
369	236	19
370	236	18
371	237	17
372	237	17
373	237	16
374	238	15
375	238	15
376	238	14
377	238	13
378	238	13
379	239	12
380	239	11
381	239	11
382	239	10
383	240	10
384	240	9
385	240	8
386	240	8
387	241	7
388	241	6
389	241	6
390	241	5
391	242	4
392	242	4
393	242	3
394	242	3
395	243	2
396	243	1
397	243	1
398	243	0
399	244	0
