,Hindi,English,Science,Maths,History,Geograpgy,Total,Results,Div
0,65,10,59,3,71,37,245,0,3
1,94,56,4,67,91,50,362,1,1
2,7,85,76,99,60,25,352,0,2
3,88,46,59,94,52,38,377,1,1
4,39,81,37,38,6,54,255,1,3
5,51,43,14,53,64,59,284,1,2
6,73,48,6,38,50,21,236,0,3
7,18,23,97,65,15,20,238,0,3
8,15,64,14,43,59,59,254,0,3
9,53,85,96,76,83,62,455,1,1
10,61,17,16,16,20,48,178,0,0
11,49,10,81,13,39,86,278,0,2
12,21,24,83,93,93,28,342,0,2
13,93,57,6,94,23,84,357,0,2
14,44,6,72,59,40,6,227,0,3
15,52,55,39,93,58,46,343,1,2
16,16,7,47,29,89,16,204,0,3
17,93,86,36,39,26,78,358,1,2
18,88,72,43,32,61,2,298,0,2
19,38,46,55,86,92,3,320,1,2
20,87,47,31,35,79,57,336,1,2
21,77,5,95,8,21,52,258,0,3
22,6,44,8,62,13,29,162,0,0
23,16,78,56,74,34,12,270,0,0
24,83,86,42,14,39,40,304,1,2
25,51,75,8,7,35,2,178,0,0
26,72,30,11,65,67,6,251,0,3
27,1,16,93,94,13,63,280,0,2
28,8,7,60,95,36,79,285,0,2
29,93,41,42,98,72,84,430,1,1
30,73,67,41,75,4,15,275,0,2
31,57,1,48,64,38,72,280,1,2
32,22,51,9,14,76,22,194,0,0
33,29,32,66,29,88,26,270,0,0
34,91,75,94,18,20,35,333,0,2
35,29,29,83,45,82,59,327,0,2
36,84,67,78,98,27,72,426,1,1
37,66,87,33,66,54,28,334,0,2
38,29,75,50,77,40,53,324,1,2
39,31,35,90,73,40,47,316,1,2
40,10,80,8,56,13,94,261,0,3
41,72,94,21,33,74,69,363,0,1
42,66,87,16,23,89,80,361,0,1
43,55,15,24,1,25,97,217,0,3
44,30,41,40,45,74,58,288,1,2
45,33,13,30,2,3,22,103,0,0
46,61,76,62,34,7,31,271,0,2
47,96,69,25,48,55,84,377,1,1
48,5,33,98,88,17,94,335,0,2
49,16,40,31,47,77,32,243,0,3
50,44,97,54,12,34,8,249,0,3
51,94,73,93,73,20,4,357,0,2
52,36,90,8,85,93,42,354,1,2
53,14,82,97,51,48,47,339,1,2
54,83,33,74,33,23,43,289,0,2
55,4,53,69,94,25,57,302,0,2
56,78,81,96,1,60,28,344,0,2
57,23,11,48,34,15,67,198,0,0
58,96,53,60,90,14,90,403,1,1
59,17,26,8,66,0,38,155,0,0
60,50,66,41,99,89,94,439,1,1
61,84,41,40,75,41,57,338,1,2
62,50,86,18,70,17,85,326,0,2
63,18,90,17,48,37,48,258,0,3
64,23,43,40,15,97,57,275,0,2
65,27,92,28,43,71,0,261,0,3
66,21,66,72,29,66,7,261,0,3
67,80,37,9,6,1,17,150,0,0
68,4,78,2,21,60,4,169,0,0
69,80,29,73,65,38,83,368,1,1
70,37,62,23,54,98,92,366,1,1
71,71,67,43,56,1,56,294,1,2
72,76,82,23,14,0,23,218,0,3
73,73,23,82,27,60,29,294,0,2
74,75,93,14,31,70,81,364,0,1
75,98,45,93,21,40,95,392,1,1
76,74,82,12,78,56,57,359,1,2
77,54,60,59,65,71,16,325,1,2
78,59,46,45,34,12,27,223,0,3
79,78,48,5,20,25,59,235,0,3
80,97,42,21,71,70,32,333,0,2
81,77,87,4,49,26,37,280,0,2
82,53,72,73,94,39,6,337,1,2
83,52,33,22,10,40,83,240,0,3
84,53,70,7,20,47,81,278,0,2
85,58,66,92,70,79,50,415,1,1
86,92,10,52,88,24,89,355,0,2
87,64,84,76,72,25,45,366,1,1
88,23,36,24,48,19,83,233,0,3
89,63,68,8,62,79,29,309,0,2
90,76,17,57,76,1,38,265,0,3
91,54,93,21,16,10,30,224,0,3
92,76,96,35,37,65,69,378,1,1
93,68,26,95,43,2,24,258,0,3
94,5,56,54,43,43,41,242,1,3
95,82,39,28,3,8,72,232,0,3
96,68,40,71,97,20,80,376,1,1
97,28,98,47,61,35,19,288,0,2
98,78,83,41,38,90,7,337,1,2
99,33,80,69,29,91,82,384,0,1
100,95,27,73,2,46,18,261,0,3
101,65,35,61,65,12,54,292,1,2
102,96,13,99,46,23,84,361,0,1
103,87,65,96,69,22,81,420,1,1
104,7,20,27,0,84,13,151,0,0
105,97,79,22,16,20,91,325,0,2
106,15,4,18,23,58,20,138,0,0
107,44,71,73,34,39,29,290,1,2
108,57,60,7,63,95,40,322,1,2
109,55,19,23,47,33,20,197,0,0
110,13,20,82,61,91,34,301,0,2
111,52,82,79,47,6,98,364,1,1
112,61,53,90,7,94,89,394,1,1
113,76,76,94,36,1,73,356,1,2
114,38,25,10,14,34,84,205,0,3
115,84,22,5,57,83,80,331,0,2
116,47,83,64,81,25,59,359,1,2
117,48,74,50,73,29,36,310,1,2
118,75,90,15,89,76,98,443,1,1
119,69,46,76,27,12,41,271,0,2
120,90,32,66,2,91,70,351,0,2
121,27,75,10,22,30,89,253,0,3
122,12,60,0,40,3,70,185,0,0
123,5,36,23,65,61,73,263,0,3
124,45,32,37,82,1,42,239,0,3
125,79,1,82,28,69,19,278,0,2
126,62,7,86,34,46,45,280,1,2
127,60,74,20,34,23,83,294,0,2
128,12,4,3,97,2,62,180,0,0
129,15,97,41,24,54,38,269,0,3
130,55,48,79,59,88,30,359,1,2
131,45,5,92,53,63,17,275,0,2
132,92,9,3,36,53,63,256,0,3
133,2,81,55,34,46,38,256,1,3
134,65,62,29,4,42,0,202,0,3
135,31,65,74,3,6,86,265,0,3
136,64,35,90,38,38,14,279,1,2
137,43,81,44,51,20,60,299,1,2
